,movie_title,avg_rating,total_votes,genre1,genre2,genre3,#_10s,#_9s,#_8s,#_7s,#_6s,#_5s,#_4s,#_3s,#_2s,#_1s,#_male_votes,#_female_votes,#_u18,#_u18m,#_u18f,#_18-29,#_18-29m,#_18-29f,#_30-44,#_30-44m,#_30-44f,#_a45,#_a45m,#_a45f,#_votes_top1000users,#_votes_inUS,#_votes_notUS,avgr_male,avgr_female,avgr_u18,avgr_u18m,avgr_u18f,avgr_18-29,avgr_18-29m,avgr_18-29f,avgr_30-44,avgr_30-44m,avgr_30-44f,avgr_a45,avgr_a45m,avgr_a45f,avgr_imdbstaff,avgr_top1000users,avgr_US_users,avgr_notUD_users,director_name,actor_2_name,gross,actor_1_name,#_voted_users,actor_3_name,language,country,budget,title_year,imdb_score
31,How to Train Your Dragon 2,7.9,"240,983",Animation,Action,Adventure,42636,45890,74727,49766,17632,5547,1936,897,586,1373,147074,45334,1714,1158,544,106062,77742,27287,61623,49351,11407,10008,7813,2009,487,27102,103921.0,7.8,8.1,8.1,7.9,8.4,8.0,7.9,8.2,7.6,7.5,7.9,7.6,7.5,7.9,7.5,7.2,7.8,7.7,Dean DeBlois,Djimon Hounsou,176997107.0,Gerard Butler,221128,America Ferrera,English,USA,145000000.0,2014.0,7.9
32,How to Train Your Dragon,8.1,"532,296",Animation,Action,Adventure,103844,127521,167836,89478,26766,8277,2953,1535,1007,3091,327837,105104,2783,1940,824,232014,167259,62711,151469,120140,29483,26139,20418,5320,744,73637,244365.0,8.1,8.4,8.0,7.9,8.3,8.3,8.2,8.5,8.0,8.0,8.4,7.9,7.9,8.2,8.0,7.4,8.1,8.1,Dean DeBlois,America Ferrera,217387997.0,Gerard Butler,485430,Craig Ferguson,English,USA,165000000.0,2010.0,8.2
33,Hugo,7.5,"261,953",Adventure,Drama,Family,29228,40728,77893,62936,27932,11179,4664,2674,1700,3023,179655,47795,884,616,250,105814,79064,25620,93126,76098,15694,22136,17667,4065,669,39127,142850.0,7.5,7.6,7.8,7.8,7.6,7.7,7.7,7.7,7.4,7.4,7.4,7.5,7.5,7.6,7.4,7.4,7.7,7.5,Martin Scorsese,Christopher Lee,73820094.0,Chloë Grace Moretz,245333,Ray Winstone,English,USA,170000000.0,2011.0,7.5
34,Inception,8.8,"1,609,713",Action,Adventure,Sci-Fi,584839,485218,304457,130972,46393,20595,10050,6631,5243,15365,1044318,239796,5678,4462,1184,655187,512411,136770,472680,392845,73555,79634,65508,12795,885,212524,707266.0,8.8,8.7,9.1,9.1,9.0,9.0,9.0,8.8,8.7,8.7,8.5,8.1,8.1,8.0,8.6,8.2,8.7,8.8,Christopher Nolan,Tom Hardy,292568851.0,Leonardo DiCaprio,1468200,Joseph Gordon-Levitt,English,USA,160000000.0,2010.0,8.8
35,Inside Out,8.2,"430,229",Animation,Adventure,Comedy,87509,113244,119801,67153,24210,8542,3349,1872,1123,3450,244433,79081,3361,2294,1040,170056,121574,46685,108560,86312,20516,18694,14910,3416,587,48297,176446.0,8.2,8.2,8.4,8.4,8.3,8.3,8.3,8.3,8.1,8.1,8.1,7.9,7.9,7.9,8.6,7.6,8.2,8.1,Pete Docter,Mindy Kaling,356454367.0,Amy Poehler,345198,Phyllis Smith,English,USA,175000000.0,2015.0,8.3
36,Interstellar,8.6,"1,075,163",Adventure,Drama,Sci-Fi,394006,291172,199884,103323,40514,17423,8657,5592,4113,10530,682280,128771,5735,4596,1104,414718,338261,72554,273267,232939,36187,52157,43831,7337,730,99615,415283.0,8.6,8.4,8.9,8.9,8.8,8.8,8.9,8.6,8.4,8.4,8.2,7.9,7.9,7.7,8.2,7.9,8.4,8.5,Christopher Nolan,Anne Hathaway,187991439.0,Matthew McConaughey,928227,Mackenzie Foy,English,USA,165000000.0,2014.0,8.6
37,Kick-Ass,7.7,"461,860",Action,Comedy,,59740,77776,143023,103305,41417,16195,7398,4074,2842,6102,336585,57638,1314,1001,305,191541,155998,33796,164120,143952,18328,25423,22259,2756,794,75909,244929.0,7.7,7.5,7.9,7.9,7.9,7.7,7.7,7.5,7.7,7.7,7.5,7.6,7.7,7.4,7.7,7.1,7.8,7.7,Matthew Vaughn,Deborah Twiss,48043505.0,Elizabeth McGovern,435864,Michael Rispoli,English,UK,30000000.0,2010.0,7.7
38,Lone Survivor,7.5,"222,343",Action,Biography,Drama,30856,33356,68808,54195,20772,7205,2727,1409,887,2133,163657,17260,602,529,66,79483,71556,7205,71559,64441,6225,16429,14140,2027,518,32733,95220.0,7.5,7.7,7.9,7.9,8.3,7.7,7.7,7.8,7.3,7.3,7.6,7.5,7.4,7.8,7.1,6.8,7.8,7.3,Peter Berg,Scott Elrod,125069696.0,Jerry Ferrara,203963,Dan Bilzerian,English,USA,40000000.0,2013.0,7.6
39,Mad Max: Fury Road,8.1,"649,540",Action,Adventure,Sci-Fi,136194,158403,163494,97218,42636,19505,9932,6743,4930,10516,424435,69670,3159,2682,456,238202,198026,37751,183637,159520,21373,34848,29980,4209,726,73080,267084.0,8.1,7.9,8.5,8.6,8.4,8.3,8.3,8.1,8.0,8.0,7.8,7.5,7.5,7.2,8.6,8.0,8.2,8.0,George Miller,Charlize Theron,153629485.0,Tom Hardy,552503,Zoë Kravitz,English,Australia,150000000.0,2015.0,8.1
40,Midnight in Paris,7.7,"324,479",Comedy,Fantasy,Romance,37002,56920,103006,72777,29887,12268,5169,2764,1789,2901,195745,81470,542,333,204,133114,85896,45730,111940,83675,26488,23907,18272,5211,642,46033,172245.0,7.7,7.6,8.0,8.1,7.7,7.8,7.9,7.7,7.5,7.5,7.5,7.6,7.6,7.8,8.0,7.1,7.8,7.6,Woody Allen,Audrey Fleurot,56816662.0,Kurt Fuller,301149,Nina Arianda,English,Spain,17000000.0,2011.0,7.7
41,Moneyball,7.6,"300,199",Biography,Drama,Sport,20734,43329,108133,85628,27802,8094,2802,1304,778,1604,222663,34888,389,350,37,113508,97523,14950,112429,96552,14345,21998,17897,3726,645,55437,146951.0,7.6,7.3,8.0,8.1,7.6,7.7,7.8,7.3,7.5,7.5,7.2,7.5,7.5,7.5,7.7,7.1,7.8,7.5,Bennett Miller,Robin Wright,75605492.0,Philip Seymour Hoffman,283563,Brad Pitt,English,USA,50000000.0,2011.0,7.6
42,Moonrise Kingdom,7.8,"258,231",Adventure,Comedy,Drama,34789,53660,82864,50730,19378,7682,3443,1949,1340,2407,164811,53362,699,503,189,101334,71073,29082,89676,70995,17363,19062,14894,3822,637,48041,125272.0,7.8,7.9,8.3,8.3,8.2,8.0,8.0,8.0,7.6,7.6,7.7,7.5,7.5,7.6,7.7,7.2,8.0,7.7,Wes Anderson,Bill Murray,45507053.0,Bruce Willis,237848,Bob Balaban,English,USA,16000000.0,2012.0,7.8
43,Nebraska,7.7,"97,059",Adventure,Comedy,Drama,8377,17556,35402,22938,7672,2578,993,535,372,638,70069,13162,154,128,23,33708,28004,5354,35361,29899,4966,11142,8910,2028,458,18237,48960.0,7.7,7.7,8.0,8.0,7.5,7.8,7.9,7.8,7.7,7.7,7.7,7.7,7.7,7.9,7.7,7.3,7.8,7.7,Alexander Payne,Bruce Dern,17613460.0,Devin Ratray,91082,Will Forte,English,USA,12000000.0,2013.0,7.8
44,Nightcrawler,7.9,"340,717",Crime,Drama,Thriller,30873,66834,130676,77067,22511,6698,2538,1243,790,1503,235721,38888,1273,1077,186,139458,116782,21181,101467,87631,12407,17889,15053,2504,584,41811,160134.0,7.9,7.7,8.4,8.5,8.2,8.0,8.0,7.7,7.7,7.7,7.5,7.7,7.7,7.7,8.3,7.8,8.0,7.8,Dan Gilroy,Michael Papajohn,32279955.0,Jake Gyllenhaal,293304,James Huang,English,USA,8500000.0,2014.0,7.9
45,Philomena,7.6,"81,855",Biography,Drama,,6420,12446,30264,22752,6670,1743,599,293,163,506,49275,20366,151,102,44,25522,16846,8377,29308,21323,7568,11825,8544,3079,436,12916,42480.0,7.6,7.7,7.8,7.7,8.0,7.6,7.6,7.7,7.6,7.5,7.7,7.8,7.7,7.9,7.9,7.1,7.7,7.6,Stephen Frears,Mare Winningham,37707719.0,Steve Coogan,76094,Peter Hermann,English,UK,12000000.0,2013.0,7.6
46,Prisoners,8.1,"441,037",Crime,Drama,Mystery,57400,110853,161533,77122,20845,6515,2540,1376,897,1978,297561,59221,1332,1075,248,177661,144671,31288,132740,111870,19074,23642,19293,3934,650,48353,208355.0,8.1,8.0,8.6,8.6,8.7,8.2,8.2,8.1,7.9,7.9,7.9,7.7,7.7,7.8,7.9,7.6,8.1,8.0,Denis Villeneuve,Jake Gyllenhaal,60962878.0,Hugh Jackman,383591,Dylan Minnette,English,USA,46000000.0,2013.0,8.1
47,Rise of the Planet of the Apes,7.6,"434,037",Action,Drama,Sci-Fi,38666,61881,150351,116877,40634,13541,5252,2524,1566,2773,320581,47940,1447,1234,202,165596,139939,24111,156688,137427,17241,29985,25601,3873,746,68084,213736.0,7.6,7.5,7.8,7.8,7.9,7.6,7.6,7.6,7.5,7.5,7.5,7.4,7.4,7.5,7.1,7.1,7.6,7.5,Rupert Wyatt,David Oyelowo,176740650.0,James Franco,403836,Tyler Labine,English,USA,93000000.0,2011.0,7.6
48,Rush,8.1,"345,486",Action,Biography,Drama,53667,90907,119603,57343,14948,4436,1625,803,633,1532,246354,35289,888,769,115,138327,119048,17987,105712,92487,11717,20105,17096,2660,593,30738,168519.0,8.1,8.0,8.3,8.3,8.0,8.3,8.3,8.2,8.0,8.0,7.9,7.8,7.8,7.8,7.4,7.1,7.9,8.1,Ron Howard,Olivia Wilde,26903709.0,Chris Hemsworth,312629,Alexandra Maria Lara,English,UK,38000000.0,2013.0,8.1
49,Scott Pilgrim vs. the World,7.5,"297,633",Action,Comedy,Romance,47292,48976,79198,59689,28452,13451,6977,4254,3069,6287,208417,45718,1022,791,221,129202,99363,28557,102986,88456,13334,14195,12157,1778,677,56559,150511.0,7.5,7.4,8.1,8.2,8.0,7.6,7.7,7.5,7.4,7.4,7.2,7.1,7.1,7.0,7.8,6.6,7.8,7.4,Edgar Wright,Kieran Culkin,31494270.0,Anna Kendrick,273921,Ellen Wong,English,USA,60000000.0,2010.0,7.5
